s_info_windcode,trade_dt,vam_5m,vam_60m,vmacd_macd
002099.SZ,2017/12/25,29835.93,52628.80183,-518.1163045
002283.SZ,2017/12/25,44540.372,76470.9995,-3130.664186
300084.SZ,2017/12/25,109258.696,67605.94367,9450.243682
603976.SH,2017/12/25,11361.394,21295.15083,434.2475457
000838.SZ,2017/12/25,77281.024,133540.1362,-8199.114544
603026.SH,2017/12/25,13960.76,23360.003,722.2849044
000404.SZ,2017/12/25,34247.864,85476.24233,269.6612268
600759.SH,2017/12/25,287506.084,246802.7398,20854.54528
603232.SH,2017/12/25,3157.2,10051.237,171.4309234
603189.SH,2017/12/25,8088.896,25662.75017,-24.41394413
601009.SH,2017/12/25,240670.262,428032.1668,-16714.47719
000783.SZ,2017/12/25,178481.548,165441.0013,10464.16482
300111.SZ,2017/12/25,36277.192,46532.526,1636.931688
002567.SZ,2017/12/25,52166.27,72282.08167,-1508.163171
600022.SH,2017/12/25,600266.932,1101269.918,-20210.20696
002808.SZ,2017/12/25,7758.648,13500.58917,-585.5719181
002559.SZ,2017/12/25,9924.726,16494.60183,-1683.773242
300612.SZ,2017/12/25,53996,4499.983333,12884.85642
002301.SZ,2017/12/25,22811.492,18306.40067,-463.1101986
300591.SZ,2017/12/25,14953.114,30431.24083,-749.0946046
600789.SH,2017/12/25,32502.158,67356.31317,2796.358792
002692.SZ,2017/12/25,45229.12,40102.6985,7119.061185
300402.SZ,2017/12/25,33098.494,25589.3855,1014.16201
300426.SZ,2017/12/25,17112.27,23699.75383,-181.2306576
000430.SZ,2017/12/25,13904.868,14050.87133,-131.398914
300356.SZ,2017/12/25,34069.674,47373.66183,-2110.020586
300033.SZ,2017/12/25,33128.056,36680.7855,-912.5757037
002005.SZ,2017/12/25,57720.792,102178.6718,3097.77076
002707.SZ,2017/12/25,28517.834,38975.82367,-1394.219812
002467.SZ,2017/12/25,97575.618,391808.0527,6749.174855
002557.SZ,2017/12/25,27530.428,31732.80067,125.5512031
002038.SZ,2017/12/25,75475.52,103658.6958,-6607.378081
002144.SZ,2017/12/25,8867.35,11864.956,347.5456845
601618.SH,2017/12/25,136041.066,342581.9093,12460.59942
300493.SZ,2017/12/25,85705.856,58229.0095,-426.4163287
002470.SZ,2017/12/25,,27387.40633,1492.97684
002361.SZ,2017/12/25,34082.404,43384.94133,-797.6588929
002910.SZ,2017/12/25,85785.362,83176.15075,-377.0426668
601801.SH,2017/12/25,33520.482,50057.55683,1733.047242
000977.SZ,2017/12/25,321262.32,350181.3567,-8885.249164
002797.SZ,2017/12/25,809985.426,1042918.021,35045.01367
600305.SH,2017/12/25,97135.024,99524.38783,7727.612813
300708.SZ,2017/12/25,158017.348,110272.0314,-17735.99849
300690.SZ,2017/12/25,6069.486,17714.54083,546.3323255
300269.SZ,2017/12/25,57339.886,33773.86683,-3700.110213
002218.SZ,2017/12/25,348036.512,225571.0702,-6421.094715
000703.SZ,2017/12/25,309570.69,138703.7102,-4842.657524
300247.SZ,2017/12/25,69451.224,197187.5655,2962.47921
600033.SH,2017/12/25,64329.246,87415.59717,-2293.630675
002679.SZ,2017/12/25,12828.292,30000.7045,1043.687691
002103.SZ,2017/12/25,,11037.27417,736.6364837
601212.SH,2017/12/25,159781.19,86019.28617,1459.028398
002336.SZ,2017/12/25,42340.182,34287.59133,-5313.799809
601326.SH,2017/12/25,121785.838,255480.9647,8546.754738
002591.SZ,2017/12/25,5340.308,13370.80033,-357.3525495
601231.SH,2017/12/25,129018.796,190530.6422,-1696.738555
002628.SZ,2017/12/25,34097.344,45027.819,486.7700397
600432.SH,2017/12/25,,,2511.526646
600621.SH,2017/12/25,145679.328,146690.8237,-16717.12535
002414.SZ,2017/12/25,14011.372,21444.30483,-258.6657926
000937.SZ,2017/12/25,201214.138,178381.5115,10341.66673
002334.SZ,2017/12/25,58171.982,114276.1572,1993.978093
002882.SZ,2017/12/25,17578.12,46682.97,2055.211653
000693.SZ,2017/12/25,,,0
300086.SZ,2017/12/25,,17300.783,-114.5755039
603690.SH,2017/12/25,38190.848,59663.5895,-2167.279195
002075.SZ,2017/12/25,,,6.41E-06
300619.SZ,2017/12/25,13181.6,32824.09617,-180.0669074
600787.SH,2017/12/25,160421.336,223516.1718,-12161.96204
600242.SH,2017/12/25,,22914.75667,1306.596382
300435.SZ,2017/12/25,9958.618,16710.28333,108.9976046
002510.SZ,2017/12/25,131293.536,494832.0677,15107.67574
300002.SZ,2017/12/25,72347.962,79214.421,-881.7342727
000613.SZ,2017/12/25,34809.102,33065.43233,-142.9181879
002547.SZ,2017/12/25,72727.268,164333.6097,-637.168975
600444.SH,2017/12/25,6913.252,23777.76483,713.4258769
300433.SZ,2017/12/25,89719.882,123565.6252,1592.848509
600844.SH,2017/12/25,17452.294,25563.0725,-1180.023494
000603.SZ,2017/12/25,21952.38,25895.97217,897.5383437
300595.SZ,2017/12/25,4169.278,6889.9345,44.01496973
603266.SH,2017/12/25,3548.81,9087.778167,-45.59135482
300461.SZ,2017/12/25,2659.966,7075.227833,152.1702867
000599.SZ,2017/12/25,67145.946,50634.2445,4395.938891
002332.SZ,2017/12/25,54258.654,94978.98767,675.7145491
600192.SH,2017/12/25,16179.75,32385.17717,1173.945338
300438.SZ,2017/12/25,16784.494,42517.47717,1189.462503
600083.SH,2017/12/25,8254.566,14346.06067,860.4203391
600737.SH,2017/12/25,58460.476,92192.89117,-1891.559302
002390.SZ,2017/12/25,83221.406,85633.28333,-4869.294359
300006.SZ,2017/12/25,63797.014,65860.5445,4859.58296
600998.SH,2017/12/25,24404.25,39868.031,51.93932702
002214.SZ,2017/12/25,230243.834,201432.5223,-47057.04567
603029.SH,2017/12/25,4917.116,6749.109333,-484.2435947
300556.SZ,2017/12/25,11645.722,20474.43167,52.07359327
300706.SZ,2017/12/25,46457.86,43548.84783,2034.89814
300571.SZ,2017/12/25,5656.93,15192.28467,180.0612635
600959.SH,2017/12/25,36460.766,51816.35833,579.2585755
300161.SZ,2017/12/25,19210.986,37797.54583,-326.1806251
002081.SZ,2017/12/25,167890.33,299851.5833,-8439.519544
002151.SZ,2017/12/25,164943.406,134408.2673,-5353.687918
000061.SZ,2017/12/25,24172.174,38055.87333,163.5930622
002762.SZ,2017/12/25,16707.85,15594.78517,-49.73794287
600692.SH,2017/12/25,20629.018,49997.3555,1549.690012
000695.SZ,2017/12/25,,813.0085,125.9763271
000782.SZ,2017/12/25,11110.3,35668.11417,230.7150933
002907.SZ,2017/12/25,40030.514,59769.13021,-491.1764635
603355.SH,2017/12/25,5061.184,10425.641,136.3402196
300401.SZ,2017/12/25,24030.942,28487.993,647.5873658
002402.SZ,2017/12/25,200558.61,155208.2572,4778.381258
300142.SZ,2017/12/25,124140.288,165599.6812,1062.314381
000595.SZ,2017/12/25,53853.064,98185.96833,1808.679148
002136.SZ,2017/12/25,22798.644,33753.54817,-1113.668871
600053.SH,2017/12/25,16205.188,15786.40717,-2094.893515
600367.SH,2017/12/25,37088.808,73808.866,-3475.210906
603887.SH,2017/12/25,2542.8,6985.394667,-19.37155028
002497.SZ,2017/12/25,299095.104,470323.8817,-7894.850463
002427.SZ,2017/12/25,52840.28,70488.56067,-2033.0669
300681.SZ,2017/12/25,10526.918,15197.36867,999.2622093
000029.SZ,2017/12/25,,,2.73E-06
601177.SH,2017/12/25,44337.366,32385.35667,4259.860673
002505.SZ,2017/12/25,239968.892,157304.242,35481.62003
600372.SH,2017/12/25,39542.164,41141.13117,1858.827203
600212.SH,2017/12/25,26327.282,61923.05217,727.0339653
002211.SZ,2017/12/25,45073.738,108599.9235,2442.314045
300255.SZ,2017/12/25,42188.73,71917.34833,-750.717354
600216.SH,2017/12/25,119531.456,164065.4113,-2624.1648
300238.SZ,2017/12/25,34118.71,32924.24617,967.5397163
002171.SZ,2017/12/25,44745.048,87463.82483,-2247.383292
600642.SH,2017/12/25,197935.226,99799.88133,10831.72611
603789.SH,2017/12/25,44081.412,19652.1965,5076.718237
601808.SH,2017/12/25,53207.174,58774.44483,4535.357287
000623.SZ,2017/12/25,60751.034,162320.1575,-1810.217109
300398.SZ,2017/12/25,19758.708,48215.23317,-206.1039495
002761.SZ,2017/12/25,4443.624,12591.55067,77.37470634
600248.SH,2017/12/25,,,3.76663004
300046.SZ,2017/12/25,106455.862,76408.94767,-6952.027838
600978.SH,2017/12/25,92868.432,117379.6563,-1177.630109
002757.SZ,2017/12/25,3697.008,9529.712667,136.2577382
603728.SH,2017/12/25,20736.204,35187.6935,1419.664872
000055.SZ,2017/12/25,45139.072,62450.27767,-681.6175922
600806.SH,2017/12/25,,,1956.567214
601788.SH,2017/12/25,77588.25,116551.7772,-5025.661798
603699.SH,2017/12/25,21075.46,24278.49567,-35.48877821
300075.SZ,2017/12/25,42232.972,60446.71767,-1240.999314
002917.SZ,2017/12/25,117215.178,62662.885,9051.799983
002246.SZ,2017/12/25,86167.908,88570.60733,-5980.856309
601005.SH,2017/12/25,,,84.64313522
002473.SZ,2017/12/25,153.8,12.81666667,27.53209713
002774.SZ,2017/12/25,14266.378,26035.16133,639.2793834
000902.SZ,2017/12/25,43144.842,54015.54017,3093.531671
600036.SH,2017/12/25,587445.266,658514.8298,-3180.782091
603099.SH,2017/12/25,5873.102,7474.949833,63.59669839
300439.SZ,2017/12/25,9335.954,35574.07633,970.4769329
300030.SZ,2017/12/25,19409.526,61561.81667,1270.5903
002347.SZ,2017/12/25,26513.546,50782.74967,1887.018498
002752.SZ,2017/12/25,46566.406,22749.60767,1411.846255
002690.SZ,2017/12/25,31577.964,33875.2305,-2515.470805
600306.SH,2017/12/25,60778.678,33487.946,-99.02263323
002359.SZ,2017/12/25,16943.372,26694.07017,-551.9062582
600389.SH,2017/12/25,16109.188,20638.48383,-1404.431368
603798.SH,2017/12/25,15068.348,10939.2685,-148.2705776
000637.SZ,2017/12/25,57730.432,32453.9035,7874.768782
002805.SZ,2017/12/25,6032.32,14368.2145,-104.7198977
000523.SZ,2017/12/25,15018.702,24965.44067,375.0178234
600673.SH,2017/12/25,85742.898,87232.02883,-17836.45399
300722.SZ,2017/12/25,40793.634,40736.52781,-3449.235623
300649.SZ,2017/12/25,21710.144,60379.99183,806.5347501
000810.SZ,2017/12/25,46913.662,30299.2595,3637.208296
603636.SH,2017/12/25,61806.458,55942.00967,1831.316356
002607.SZ,2017/12/25,70909.218,196665.646,5058.459264
002587.SZ,2017/12/25,29326.47,32741.75333,-521.412598
603306.SH,2017/12/25,5501.688,9466.416833,561.0349655
601968.SH,2017/12/25,23665.208,30657.02083,1537.309614
600626.SH,2017/12/25,27789.972,103046.753,2808.157184
002318.SZ,2017/12/25,43470.532,69086.828,1594.55854
002320.SZ,2017/12/25,38087.134,47398.9925,-697.5885513
002691.SZ,2017/12/25,3315.074,4613.399167,242.7033514
300067.SZ,2017/12/25,45453.944,51974.01183,1403.840802
002276.SZ,2017/12/25,60984.038,90252.465,5642.141833
002013.SZ,2017/12/25,81952.856,135739.8372,1073.32413
300583.SZ,2017/12/25,3646.464,5246.6985,208.7249252
600468.SH,2017/12/25,31678.444,56125.887,-2302.923461
300124.SZ,2017/12/25,59050.528,83570.76567,2964.734098
300173.SZ,2017/12/25,14529.222,33344.606,-203.1863719
002003.SZ,2017/12/25,29110.41,26505.67767,1734.156153
